Data,Temperatura,Umiditate,ValoareSenzorMq135,CalitateAer,IndiceConfort
2024-06-02 15:45:40,30.3,50.3,99860174.78038508,Calitate Foarte Buna a Aerului sub 300 ppm,78.74
2024-06-02 15:45:43,30.5,50.5,99859329.15689826,Calitate Foarte Buna a Aerului sub 300 ppm,79.03
2024-06-02 15:45:46,30.4,51.0,99860154.89735717,Calitate Foarte Buna a Aerului sub 300 ppm,78.98
2024-06-02 15:45:49,30.5,51.0,99859165.6013021,Calitate Foarte Buna a Aerului sub 300 ppm,79.11
2024-06-02 15:45:52,30.5,51.0,99858877.4280441,Calitate Foarte Buna a Aerului sub 300 ppm,79.11
2024-06-02 15:45:55,30.5,51.3,99859308.75650227,Calitate Foarte Buna a Aerului sub 300 ppm,79.16
2024-06-02 15:45:58,30.4,51.6,99859613.4497477,Calitate Foarte Buna a Aerului sub 300 ppm,79.07
2024-06-02 15:46:01,30.5,52.2,99860589.55091673,Calitate Foarte Buna a Aerului sub 300 ppm,79.30
2024-06-02 15:46:04,30.5,51.9,99860491.27374285,Calitate Foarte Buna a Aerului sub 300 ppm,79.25
2024-06-02 15:46:07,30.5,51.5,99859104.05963162,Calitate Foarte Buna a Aerului sub 300 ppm,79.19
2024-06-02 15:46:10,30.5,51.0,99860550.27567014,Calitate Foarte Buna a Aerului sub 300 ppm,79.11
2024-06-02 15:46:13,30.4,50.7,99860589.55091673,Calitate Foarte Buna a Aerului sub 300 ppm,78.93
2024-06-02 15:46:16,30.4,50.3,99860214.51021947,Calitate Foarte Buna a Aerului sub 300 ppm,78.87
2024-06-02 15:46:19,30.5,50.7,99860530.62024611,Calitate Foarte Buna a Aerului sub 300 ppm,79.06
2024-06-02 15:46:22,30.5,50.6,99860999.09572306,Calitate Foarte Buna a Aerului sub 300 ppm,79.05
2024-06-02 15:46:25,30.5,50.6,99860491.27374285,Calitate Foarte Buna a Aerului sub 300 ppm,79.05
2024-06-02 15:46:28,30.4,50.7,99860015.37706523,Calitate Foarte Buna a Aerului sub 300 ppm,78.93
2024-06-02 15:46:31,30.5,50.7,99857976.4822081,Calitate Foarte Buna a Aerului sub 300 ppm,79.06
2024-06-02 15:46:34,30.6,50.6,99860333.41074133,Calitate Foarte Buna a Aerului sub 300 ppm,79.18
2024-06-02 15:46:37,30.5,51.6,99860135.00224067,Calitate Foarte Buna a Aerului sub 300 ppm,79.21
2024-06-02 15:46:40,30.5,52.5,99860392.69899175,Calitate Foarte Buna a Aerului sub 300 ppm,79.35
2024-06-02 15:46:43,30.5,52.1,99859915.3549558,Calitate Foarte Buna a Aerului sub 300 ppm,79.29
2024-06-02 15:46:46,30.5,51.8,99860333.41074133,Calitate Foarte Buna a Aerului sub 300 ppm,79.24
2024-06-02 15:46:49,30.6,51.8,99860804.71984619,Calitate Foarte Buna a Aerului sub 300 ppm,79.37
2024-06-02 15:46:52,30.6,52.8,99859491.90917069,Calitate Foarte Buna a Aerului sub 300 ppm,79.53
2024-06-02 15:46:55,30.5,53.8,99860234.35704789,Calitate Foarte Buna a Aerului sub 300 ppm,79.56
2024-06-02 15:46:58,30.5,53.4,99860392.69899175,Calitate Foarte Buna a Aerului sub 300 ppm,79.49
2024-06-02 15:47:01,30.5,52.2,99860254.19183181,Calitate Foarte Buna a Aerului sub 300 ppm,79.30
2024-06-02 15:47:04,30.5,51.5,99859835.11734383,Calitate Foarte Buna a Aerului sub 300 ppm,79.19
2024-06-02 15:47:07,30.4,51.2,99861018.46919063,Calitate Foarte Buna a Aerului sub 300 ppm,79.01
2024-06-02 15:47:10,30.5,51.3,99862290.54311484,Calitate Foarte Buna a Aerului sub 300 ppm,79.16
2024-06-02 15:47:13,30.5,52.0,99860451.87962726,Calitate Foarte Buna a Aerului sub 300 ppm,79.27
2024-06-02 15:47:16,30.6,52.9,99859613.4497477,Calitate Foarte Buna a Aerului sub 300 ppm,79.55
2024-06-02 15:47:19,30.6,53.0,99858980.6336074,Calitate Foarte Buna a Aerului sub 300 ppm,79.56
2024-06-02 15:47:22,30.5,53.4,99859288.34354268,Calitate Foarte Buna a Aerului sub 300 ppm,79.49
2024-06-02 15:47:25,30.6,53.6,99859955.40038662,Calitate Foarte Buna a Aerului sub 300 ppm,79.66
2024-06-02 15:47:28,30.6,53.1,99859186.08988664,Calitate Foarte Buna a Aerului sub 300 ppm,79.58
2024-06-02 15:47:31,30.6,52.5,99859895.31391342,Calitate Foarte Buna a Aerului sub 300 ppm,79.48
2024-06-02 15:47:34,30.6,52.1,99860174.78038508,Calitate Foarte Buna a Aerului sub 300 ppm,79.42
2024-06-02 15:47:37,30.6,51.2,99860589.55091673,Calitate Foarte Buna a Aerului sub 300 ppm,79.27
2024-06-02 15:47:40,30.6,50.6,99859734.54424652,Calitate Foarte Buna a Aerului sub 300 ppm,79.18
2024-06-02 15:47:43,30.5,50.4,99860882.6103896,Calitate Foarte Buna a Aerului sub 300 ppm,79.02
2024-06-02 15:47:46,30.5,50.4,99860609.17076078,Calitate Foarte Buna a Aerului sub 300 ppm,79.02
2024-06-02 15:47:49,30.5,50.3,99859815.02730256,Calitate Foarte Buna a Aerului sub 300 ppm,79.00
2024-06-02 15:47:52,30.6,50.5,99859754.68346666,Calitate Foarte Buna a Aerului sub 300 ppm,79.16
2024-06-02 15:47:55,30.6,50.8,99860921.48548079,Calitate Foarte Buna a Aerului sub 300 ppm,79.21
2024-06-02 15:47:58,30.6,51.0,99859734.54424652,Calitate Foarte Buna a Aerului sub 300 ppm,79.24
2024-06-02 15:48:01,30.6,51.6,99859935.3837765,Calitate Foarte Buna a Aerului sub 300 ppm,79.34
2024-06-02 15:48:05,30.6,51.8,99860274.0145822,Calitate Foarte Buna a Aerului sub 300 ppm,79.37
2024-06-02 15:48:08,30.6,51.7,99860154.89735717,Calitate Foarte Buna a Aerului sub 300 ppm,79.35
2024-06-02 15:48:11,30.5,51.6,99860372.94821326,Calitate Foarte Buna a Aerului sub 300 ppm,79.21
2024-06-02 15:48:14,30.6,51.2,99861211.56669162,Calitate Foarte Buna a Aerului sub 300 ppm,79.27
2024-06-02 15:48:17,30.6,51.0,99859613.4497477,Calitate Foarte Buna a Aerului sub 300 ppm,79.24
2024-06-02 15:48:20,30.5,50.6,99860451.87962726,Calitate Foarte Buna a Aerului sub 300 ppm,79.05
2024-06-02 15:48:23,30.6,50.3,99860765.70422484,Calitate Foarte Buna a Aerului sub 300 ppm,79.13
2024-06-02 15:48:26,30.5,50.9,99860055.30066934,Calitate Foarte Buna a Aerului sub 300 ppm,79.10
2024-06-02 15:48:29,30.6,51.8,99859734.54424652,Calitate Foarte Buna a Aerului sub 300 ppm,79.37
2024-06-02 15:48:32,30.6,53.4,99859955.40038662,Calitate Foarte Buna a Aerului sub 300 ppm,79.63
2024-06-02 15:48:35,30.6,53.1,99859955.40038662,Calitate Foarte Buna a Aerului sub 300 ppm,79.58
2024-06-02 15:48:38,30.6,52.6,99860628.77876632,Calitate Foarte Buna a Aerului sub 300 ppm,79.50
2024-06-02 15:48:41,30.6,51.6,99859633.66307534,Calitate Foarte Buna a Aerului sub 300 ppm,79.34
2024-06-02 15:48:44,30.6,50.8,99860135.00224067,Calitate Foarte Buna a Aerului sub 300 ppm,79.21
2024-06-02 15:48:47,30.6,50.5,99859995.39701983,Calitate Foarte Buna a Aerului sub 300 ppm,79.16
2024-06-02 15:48:50,30.5,50.5,99859895.31391342,Calitate Foarte Buna a Aerului sub 300 ppm,79.03
2024-06-02 15:48:53,30.6,50.8,99860015.37706523,Calitate Foarte Buna a Aerului sub 300 ppm,79.21
2024-06-02 15:48:56,30.7,50.8,99860707.09261744,Calitate Foarte Buna a Aerului sub 300 ppm,79.34
2024-06-02 15:48:59,30.6,50.3,99860960.3138973,Calitate Foarte Buna a Aerului sub 300 ppm,79.13
2024-06-02 15:49:02,30.6,50.6,99860372.94821326,Calitate Foarte Buna a Aerului sub 300 ppm,79.18
2024-06-02 15:49:05,30.6,51.4,99861173.0396219,Calitate Foarte Buna a Aerului sub 300 ppm,79.31
2024-06-02 15:49:08,30.6,51.7,99859694.2288262,Calitate Foarte Buna a Aerului sub 300 ppm,79.35
2024-06-02 15:49:11,30.6,51.4,99859288.34354268,Calitate Foarte Buna a Aerului sub 300 ppm,79.31
2024-06-02 15:49:14,30.6,50.9,99860726.64159076,Calitate Foarte Buna a Aerului sub 300 ppm,79.23
2024-06-02 15:49:17,30.6,50.3,99860999.09572306,Calitate Foarte Buna a Aerului sub 300 ppm,79.13
2024-06-02 15:49:20,30.6,50.9,99860843.68853958,Calitate Foarte Buna a Aerului sub 300 ppm,79.23
2024-06-02 15:49:23,30.7,52.3,99859915.3549558,Calitate Foarte Buna a Aerului sub 300 ppm,79.58
2024-06-02 15:49:26,30.6,52.6,99859613.4497477,Calitate Foarte Buna a Aerului sub 300 ppm,79.50
2024-06-02 15:49:29,30.6,53.4,99860095.17569828,Calitate Foarte Buna a Aerului sub 300 ppm,79.63
2024-06-02 15:49:32,30.7,52.8,99861783.99264657,Calitate Foarte Buna a Aerului sub 300 ppm,79.66
2024-06-02 15:49:35,30.6,51.9,99860648.3749442,Calitate Foarte Buna a Aerului sub 300 ppm,79.39
2024-06-02 15:49:38,30.7,52.0,99860550.27567014,Calitate Foarte Buna a Aerului sub 300 ppm,79.54
2024-06-02 15:49:41,30.6,51.7,99860412.43781307,Calitate Foarte Buna a Aerului sub 300 ppm,79.35
2024-06-02 15:49:44,30.7,51.3,99860804.71984619,Calitate Foarte Buna a Aerului sub 300 ppm,79.42
2024-06-02 15:49:47,30.7,51.0,99860843.68853958,Calitate Foarte Buna a Aerului sub 300 ppm,79.37
2024-06-02 15:49:50,30.7,50.7,99861095.84700285,Calitate Foarte Buna a Aerului sub 300 ppm,79.33
2024-06-02 15:49:53,30.7,50.2,99860921.48548079,Calitate Foarte Buna a Aerului sub 300 ppm,79.25
2024-06-02 15:49:56,30.7,50.0,99861192.30891813,Calitate Foarte Buna a Aerului sub 300 ppm,79.21
2024-06-02 15:49:59,30.6,49.9,99860234.35704789,Calitate Foarte Buna a Aerului sub 300 ppm,79.07
2024-06-02 15:50:02,30.7,49.9,99860353.18546683,Calitate Foarte Buna a Aerului sub 300 ppm,79.20
2024-06-02 15:50:05,30.6,49.6,99859815.02730256,Calitate Foarte Buna a Aerului sub 300 ppm,79.02
2024-06-02 15:50:08,30.7,49.4,99860194.65133546,Calitate Foarte Buna a Aerului sub 300 ppm,79.12
2024-06-02 15:50:11,30.7,49.4,99860530.62024611,Calitate Foarte Buna a Aerului sub 300 ppm,79.12
2024-06-02 15:50:14,30.7,50.0,99860274.0145822,Calitate Foarte Buna a Aerului sub 300 ppm,79.21
2024-06-02 15:50:17,30.7,50.7,99860628.77876632,Calitate Foarte Buna a Aerului sub 300 ppm,79.33
2024-06-02 15:50:20,30.6,51.0,99859186.08988664,Calitate Foarte Buna a Aerului sub 300 ppm,79.24
2024-06-02 15:50:23,30.7,51.3,99860392.69899175,Calitate Foarte Buna a Aerului sub 300 ppm,79.42
